,Data ora,Anno,Mese,Giorno,Ora,PDMM,PDMF
199,2021-01-09 07:00:00.985,2021,1,9,7,0.0012949907234722244,0.004481042187302124
200,2021-01-09 08:00:00.990,2021,1,9,8,0.0013854129220423964,0.004793929128588573
201,2021-01-09 09:00:00.995,2021,1,9,9,0.0014203965422909914,0.004914982565773193
202,2021-01-09 10:00:01.000,2021,1,9,10,0.001400031513372415,0.00484451367972196
203,2021-01-09 11:00:01.005,2021,1,9,11,0.0014000541147060886,0.004844591886868811
204,2021-01-09 12:00:01.010,2021,1,9,12,0.0014465508932887071,0.005005484179474356
205,2021-01-09 13:00:01.015,2021,1,9,13,0.0014577931226813085,0.0050443855424528485
206,2021-01-09 14:00:01.020,2021,1,9,14,0.00144904273382688,0.00501410666793948
207,2021-01-09 15:00:01.025,2021,1,9,15,0.0014169582000442922,0.004903084907834354
208,2021-01-09 16:00:01.030,2021,1,9,16,0.001440133561525222,0.0049832783568063855
209,2021-01-09 17:00:01.035,2021,1,9,17,0.0016313248357102794,0.005644855424455291
210,2021-01-09 18:00:01.040,2021,1,9,18,0.0018120877670627755,0.006270347411856625
211,2021-01-09 19:00:01.045,2021,1,9,19,0.0019638750759083897,0.006795575370718403
212,2021-01-09 20:00:01.050,2021,1,9,20,0.0019635278431053642,0.006794373844861137
213,2021-01-09 21:00:01.055,2021,1,9,21,0.0018402291450255624,0.006367724713156472
214,2021-01-09 22:00:01.060,2021,1,9,22,0.0015913051087074793,0.005506375602342722
215,2021-01-09 23:00:01.065,2021,1,9,23,0.001296097882585488,0.0032235558618750157
216,2021-01-10 00:00:01.070,2021,1,10,0,0.0010486072845780176,0.002608016110838263
217,2021-01-10 01:00:01.075,2021,1,10,1,0.0008838163534314951,0.002198160667650948
218,2021-01-10 02:00:01.080,2021,1,10,2,0.0007946723507572549,0.0019764484989694326
219,2021-01-10 03:00:01.085,2021,1,10,3,0.0007542900371635136,0.0018760126866359504
220,2021-01-10 04:00:01.090,2021,1,10,4,0.0007494819867322517,0.0018640544700844603
221,2021-01-10 05:00:01.095,2021,1,10,5,0.0008110345293650855,0.0020171432624383014
222,2021-01-10 06:00:01.100,2021,1,10,6,0.0010063499887455476,0.002502916985596261
223,2021-01-10 07:00:01.105,2021,1,10,7,0.0012949907234722244,0.0032208022201188316
224,2021-01-10 08:00:01.110,2021,1,10,8,0.0013854129220423964,0.0034456934202055497
225,2021-01-10 09:00:01.115,2021,1,10,9,0.0014203965422909914,0.0035327020139523497
226,2021-01-10 10:00:01.120,2021,1,10,10,0.001400031513372415,0.0034820516662974524
227,2021-01-10 11:00:01.125,2021,1,10,11,0.0014000541147060886,0.0034821078786118373
228,2021-01-10 12:00:01.130,2021,1,10,12,0.0014465508932887071,0.0035977511222064574
229,2021-01-10 13:00:01.135,2021,1,10,13,0.0014577931226813085,0.0036257119382420264
230,2021-01-10 14:00:01.140,2021,1,10,14,0.00144904273382688,0.0036039486380589334
231,2021-01-10 15:00:01.145,2021,1,10,15,0.0014169582000442922,0.003524150431195058
232,2021-01-10 16:00:01.150,2021,1,10,16,0.001440133561525222,0.0035817904237887476
233,2021-01-10 17:00:01.155,2021,1,10,17,0.0016313248357102794,0.004057306787883991
234,2021-01-10 18:00:01.160,2021,1,10,18,0.0018120877670627755,0.0045068865725594095
235,2021-01-10 19:00:01.165,2021,1,10,19,0.0019638750759083897,0.004884400397527209
236,2021-01-10 20:00:01.170,2021,1,10,20,0.0019635278431053642,0.004883536786566442
237,2021-01-10 21:00:01.175,2021,1,10,21,0.0018402291450255624,0.004576877662825078
238,2021-01-10 22:00:01.180,2021,1,10,22,0.0015913051087074793,0.003957772773282278
239,2021-01-10 23:00:01.185,2021,1,10,23,0.001296097882585488,0.0032235558618750157
240,2021-01-11 00:00:01.190,2021,1,11,0,0.0010486072845780176,0.002608016110838263
241,2021-01-11 01:00:01.195,2021,1,11,1,0.0008838163534314951,0.002198160667650948
242,2021-01-11 02:00:01.200,2021,1,11,2,0.0007946723507572549,0.0019764484989694326
243,2021-01-11 03:00:01.205,2021,1,11,3,0.0007542900371635136,0.0018760126866359504
244,2021-01-11 04:00:01.210,2021,1,11,4,0.0007494819867322517,0.0018640544700844603
245,2021-01-11 05:00:01.215,2021,1,11,5,0.0008110345293650855,0.0020171432624383014
246,2021-01-11 06:00:01.220,2021,1,11,6,0.0010063499887455476,0.002502916985596261
247,2021-01-11 07:00:01.225,2021,1,11,7,0.0012949907234722244,0.004481042187302124
248,2021-01-11 08:00:01.230,2021,1,11,8,0.0013854129220423964,0.004484466687009666
249,2021-01-11 09:00:01.235,2021,1,11,9,0.0014203965422909914,0.004597705763316636
250,2021-01-11 10:00:01.240,2021,1,11,10,0.001400031513372415,0.0045317858543044475
251,2021-01-11 11:00:01.245,2021,1,11,11,0.0014000541147060886,0.004531859012946416
252,2021-01-11 12:00:01.250,2021,1,11,12,0.0014465508932887071,0.004682365227584304
253,2021-01-11 13:00:01.255,2021,1,11,13,0.0014577931226813085,0.004718755391409627
254,2021-01-11 14:00:01.260,2021,1,11,14,0.00144904273382688,0.004690431108669275
255,2021-01-11 15:00:01.265,2021,1,11,15,0.0014169582000442922,0.004586576134728265
256,2021-01-11 16:00:01.270,2021,1,11,16,0.001440133561525222,0.004661592857083809
257,2021-01-11 17:00:01.275,2021,1,11,17,0.0016313248357102794,0.0052804631493183025
258,2021-01-11 18:00:01.280,2021,1,11,18,0.0018120877670627755,0.00586557776099772
259,2021-01-11 19:00:01.285,2021,1,11,19,0.0019638750759083897,0.006795575370718403
260,2021-01-11 20:00:01.290,2021,1,11,20,0.0019635278431053642,0.006794373844861137
261,2021-01-11 21:00:01.295,2021,1,11,21,0.0018402291450255624,0.006367724713156472
262,2021-01-11 22:00:01.300,2021,1,11,22,0.0015913051087074793,0.005506375602342722
263,2021-01-11 23:00:01.305,2021,1,11,23,0.001296097882585488,0.0032235558618750157
264,2021-01-12 00:00:01.310,2021,1,12,0,0.0010486072845780176,0.002608016110838263
265,2021-01-12 01:00:01.315,2021,1,12,1,0.0008838163534314951,0.002198160667650948
266,2021-01-12 02:00:01.320,2021,1,12,2,0.0007946723507572549,0.0019764484989694326
267,2021-01-12 03:00:01.325,2021,1,12,3,0.0007542900371635136,0.0018760126866359504
268,2021-01-12 04:00:01.330,2021,1,12,4,0.0007494819867322517,0.0018640544700844603
269,2021-01-12 05:00:01.335,2021,1,12,5,0.0008110345293650855,0.0020171432624383014
270,2021-01-12 06:00:01.340,2021,1,12,6,0.0010063499887455476,0.002502916985596261
271,2021-01-12 07:00:01.345,2021,1,12,7,0.0012949907234722244,0.004481042187302124
272,2021-01-12 08:00:01.350,2021,1,12,8,0.0013854129220423964,0.004484466687009666
273,2021-01-12 09:00:01.355,2021,1,12,9,0.0014203965422909914,0.004597705763316636
274,2021-01-12 10:00:01.360,2021,1,12,10,0.001400031513372415,0.0045317858543044475
275,2021-01-12 11:00:01.365,2021,1,12,11,0.0014000541147060886,0.004531859012946416
276,2021-01-12 12:00:01.370,2021,1,12,12,0.0014465508932887071,0.004682365227584304
277,2021-01-12 13:00:01.375,2021,1,12,13,0.0014577931226813085,0.004718755391409627
278,2021-01-12 14:00:01.380,2021,1,12,14,0.00144904273382688,0.004690431108669275
279,2021-01-12 15:00:01.385,2021,1,12,15,0.0014169582000442922,0.004586576134728265
280,2021-01-12 16:00:01.390,2021,1,12,16,0.001440133561525222,0.004661592857083809
281,2021-01-12 17:00:01.395,2021,1,12,17,0.0016313248357102794,0.0052804631493183025
282,2021-01-12 18:00:01.400,2021,1,12,18,0.0018120877670627755,0.00586557776099772
283,2021-01-12 19:00:01.405,2021,1,12,19,0.0019638750759083897,0.006795575370718403
